,article_id,text,label,source
0,111111111,The next transmission could be more pronounced or stronger,Appeal_to_Authority,train
1,111111111,"when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw",Appeal_to_Authority,train
2,111111111,appeared,Doubt,train
3,111111111,"a very, very different",Repetition,train
4,111111111,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak",Appeal_to_fear-prejudice,train
5,111111111,but warned that the danger was not over,Appeal_to_fear-prejudice,train
6,111111111,the magnitude in the next transmission could be higher,Appeal_to_fear-prejudice,train
7,111111111,it could even spill over into neighbouring countries and beyond,Appeal_to_fear-prejudice,train
8,111111112,Stop Islamization of America,Slogans,train
9,111111112,We condemn all those whose behaviours and views run counter to our shared values,Black-and-White_Fallacy,train
10,111111112,"Defeat Jihad""",Slogans,train
11,111111112,"the nation that gave the world the Magna Carta is dead""",Loaded_Language,train
12,111111112,"The UK should never become a stage for inflammatory speakers who promote hate.""",Flag-Waving,train
13,111111112,hate preachers,"Name_Calling,Labeling",train
14,111111112,"delighted"" with the decision",Loaded_Language,train
15,111111112,a striking blow against freedom,Loaded_Language,train
16,111111112,so-called land of democracy and freedom of speech,"Name_Calling,Labeling",train
17,111111113,hair trigger in single-action mode,Loaded_Language,train
18,111111113,"sanctuary"" policy","Name_Calling,Labeling",train
19,111111113,"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""","Whataboutism,Straw_Men,Red_Herring",train
20,111111113,pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies,Causal_Oversimplification,train
21,111111113,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,""",Causal_Oversimplification,train
22,111111113,Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails,Causal_Oversimplification,train
23,111111113,a complete travesty of justice,Loaded_Language,train
24,111111113,"BUILD THE WALL!""",Slogans,train
25,111111113,firestorm of outrage,Loaded_Language,train
26,111111113,alien,Loaded_Language,train
27,111111113,The Kate Steinle killer,"Name_Calling,Labeling",train
28,111111114,they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country,Appeal_to_fear-prejudice,train
29,111111115,"aggressively stuck his tongue in my mouth""",Loaded_Language,train
30,111111115,"wet, open-mouthed kiss""",Loaded_Language,train
31,111111115,"Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described",Appeal_to_Authority,train
32,111111115,"and squeezed ""at least twice""",Loaded_Language,train
33,111111117,the delay signaled the White House was having second thoughts about the nomination,Causal_Oversimplification,train
34,111111122,Exploding in Trump’s Face,Loaded_Language,train
35,111111122,the biggest political gift possible,"Exaggeration,Minimisation",train
36,111111122,complete hash,Loaded_Language,train
37,111111122,how badly Trump does his job,Doubt,train
38,111111122,reflected the reality-TV star’s weakness as a presidential candidate,Doubt,train
39,111111122,reality-TV star’s,"Name_Calling,Labeling",train
40,111111122,Trump is easily manipulated by those around him,Doubt,train
41,111111122,cut-of-his-jib test,Loaded_Language,train
42,111111122,severe trouble,Loaded_Language,train
43,111111122,Trump hasn’t learned it yet,Doubt,train
44,111111122,extremely high-profile episode,"Exaggeration,Minimisation",train
45,111111122,Trump and his White House staff failed to do their jobs,Doubt,train
46,111111122,a slur on all women,Loaded_Language,train
47,111111122,a gang that can’t shoot straight,"Name_Calling,Labeling",train
48,111111122,ugly ways,Loaded_Language,train
49,111111122,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president",Appeal_to_Authority,train
50,111111122,cut-of-his-jib test,Loaded_Language,train
51,111111122,someone who hires based on what he thinks someone doing that job should look like,Causal_Oversimplification,train
52,111111122,hazy old-time Hollywood casting,Loaded_Language,train
53,111111122,bombshells,Loaded_Language,train
54,111111122,"partisan, conservative judges","Name_Calling,Labeling",train
55,111111123,hypocritical,Loaded_Language,train
56,111111124,has blasted,Loaded_Language,train
57,111111124,are blasting,Loaded_Language,train
